,鄉鎮市區,交易標的,都市土地使用分區,交易年,總樓層數,建物型態,主要建材,有無管理組織,車位總價元,建物移轉總面積坪,屋齡,房間數,樓層比
144930,八里區,房地(土地+建物),其他,102,3,公寓(5樓含以下無電梯),5,0,0,26.716799999999996,35,11,1.0
145339,汐止區,房地(土地+建物)+車位,其他,102,4,透天厝,4,1,0,80.37424999999999,24,11,1.0
145811,八里區,房地(土地+建物),其他,102,14,套房(1房1廳1衛),4,1,0,16.026449999999997,5,3,0.35714285714285715
146236,瑞芳區,房地(土地+建物),商,102,3,透天厝,5,0,0,25.41,50,7,1.0
147295,鶯歌區,房地(土地+建物),其他,102,5,公寓(5樓含以下無電梯),4,0,0,23.691799999999997,32,5,0.2
147809,汐止區,房地(土地+建物)+車位,其他,102,5,公寓(5樓含以下無電梯),4,1,0,42.413525,19,7,0.6
150148,新莊區,房地(土地+建物)+車位,商,102,14,套房(1房1廳1衛),4,1,0,14.036,9,3,0.35714285714285715
151221,汐止區,房地(土地+建物)+車位,商,102,12,套房(1房1廳1衛),4,1,0,22.784299999999998,21,3,0.9166666666666666
151901,金山區,房地(土地+建物),其他,102,2,透天厝,5,1,0,57.974125,32,8,1.0
152162,三芝區,房地(土地+建物),其他,102,7,華廈(10層含以下有電梯),4,1,0,48.8598,16,8,0.7142857142857143
154466,三芝區,房地(土地+建物)+車位,其他,102,12,住宅大樓(11層含以上有電梯),4,1,0,34.1946,17,4,1.0
155165,林口區,房地(土地+建物)+車位,其他,102,14,套房(1房1廳1衛),4,1,0,31.0486,19,3,0.7142857142857143
156610,金山區,房地(土地+建物),其他,102,7,套房(1房1廳1衛),4,1,0,12.441825,16,3,0.42857142857142855
158457,金山區,房地(土地+建物)+車位,其他,102,6,華廈(10層含以下有電梯),4,1,0,21.82235,16,3,0.8333333333333334
158484,蘆洲區,房地(土地+建物)+車位,住,102,5,透天厝,4,0,0,72.83897499999999,9,11,1.0
161979,新莊區,房地(土地+建物)+車位,其他,102,5,公寓(5樓含以下無電梯),4,0,0,38.937799999999996,18,7,0.8
162454,泰山區,房地(土地+建物),其他,102,2,透天厝,5,0,0,33.38995,45,10,1.0
164974,鶯歌區,房地(土地+建物),其他,101,2,透天厝,5,0,0,31.266399999999997,33,7,1.0
165491,瑞芳區,房地(土地+建物),其他,101,8,華廈(10層含以下有電梯),4,1,0,34.881275,17,6,0.875
165524,深坑區,房地(土地+建物)+車位,其他,101,12,住宅大樓(11層含以上有電梯),4,1,0,44.648999999999994,16,5,0.6666666666666666
166823,汐止區,房地(土地+建物)+車位,住,101,3,透天厝,4,1,0,78.54715,17,14,1.0
166902,金山區,房地(土地+建物),其他,101,7,華廈(10層含以下有電梯),4,1,0,19.090775,15,3,0.14285714285714285
167358,瑞芳區,房地(土地+建物),其他,101,5,公寓(5樓含以下無電梯),4,0,0,37.9335,14,7,0.8
167945,三芝區,房地(土地+建物)+車位,其他,101,9,套房(1房1廳1衛),4,1,0,11.128974999999999,16,3,0.2222222222222222
168113,樹林區,房地(土地+建物)+車位,其他,101,5,公寓(5樓含以下無電梯),4,0,0,34.56365,15,7,0.6
168285,深坑區,房地(土地+建物),其他,101,12,住宅大樓(11層含以上有電梯),4,1,0,21.1024,17,4,0.8333333333333334
168301,鶯歌區,房地(土地+建物)+車位,其他,101,5,公寓(5樓含以下無電梯),4,1,0,49.141124999999995,21,3,0.8
169819,深坑區,房地(土地+建物),其他,101,5,華廈(10層含以下有電梯),4,1,0,35.310825,18,7,0.4
169901,瑞芳區,房地(土地+建物)+車位,其他,101,7,華廈(10層含以下有電梯),4,1,0,39.424825000000006,17,7,1.0
169917,貢寮區,房地(土地+建物),其他,101,5,公寓(5樓含以下無電梯),4,0,0,32.255575,17,3,0.6
170841,深坑區,房地(土地+建物)+車位,其他,101,2,透天厝,4,0,0,51.603474999999996,23,6,1.0
171025,金山區,房地(土地+建物),其他,101,14,住宅大樓(11層含以上有電梯),4,0,0,25.367649999999998,12,4,0.35714285714285715
187536,金山區,房地(土地+建物),商,102,5,華廈(10層含以下有電梯),4,0,0,38.732099999999996,17,5,0.8
187703,萬里區,房地(土地+建物),其他,102,2,透天厝,5,0,0,45.61095,32,11,1.0
191641,深坑區,房地(土地+建物)+車位,其他,102,5,公寓(5樓含以下無電梯),4,0,0,29.00975,20,5,0.8
193808,蘆洲區,房地(土地+建物)+車位,商,102,5,公寓(5樓含以下無電梯),4,0,0,54.610324999999996,23,7,0.2
197879,鶯歌區,房地(土地+建物),其他,101,7,套房(1房1廳1衛),4,1,0,12.71105,13,2,0.7142857142857143
198113,林口區,房地(土地+建物),其他,101,19,住宅大樓(11層含以上有電梯),4,1,0,44.210375,4,7,0.21052631578947367
198770,三重區,房地(土地+建物)+車位,住,101,3,透天厝,4,0,0,89.8304,5,10,1.0
199768,三峽區,房地(土地+建物)+車位,商,101,19,套房(1房1廳1衛),4,1,0,38.741175,4,3,1.0
202293,深坑區,房地(土地+建物)+車位,住,101,2,透天厝,4,1,0,67.29415,30,10,1.0
207487,中和區,房地(土地+建物)+車位,住,109,5,透天厝,4,0,0,71.70157499999999,31,12,1.0
214426,新店區,建物,住,109,6,華廈(10層含以下有電梯),4,0,0,16.201900000000002,25,5,0.3333333333333333
236225,蘆洲區,房地(土地+建物),其他,108,14,套房(1房1廳1衛),4,1,0,11.334674999999999,21,3,0.2857142857142857
237393,雙溪區,房地(土地+建物),其他,109,2,透天厝,5,0,0,45.583725,18,7,1.0
251383,雙溪區,房地(土地+建物)+車位,住,110,3,透天厝,4,0,0,69.039575,20,9,1.0
