,鄉鎮市區,交易標的,都市土地使用分區,交易年,總樓層數,建物型態,主要建材,有無管理組織,車位總價元,建物移轉總面積坪,屋齡,房間數,樓層比
19001,松山區,房地(土地+建物)+車位,其他,103,5,公寓(5樓含以下無電梯),4,1,0,18.682399999999998,19,4,0.2
19431,中山區,房地(土地+建物)+車位,其他,103,15,住宅大樓(11層含以上有電梯),4,1,0,6.2284749999999995,25,8,0.26666666666666666
19891,信義區,房地(土地+建物)+車位,住,103,3,透天厝,4,1,0,97.06922499999999,29,13,1.0
21034,文山區,房地(土地+建物)+車位,商,103,5,公寓(5樓含以下無電梯),4,0,0,64.592825,25,7,0.8
21775,大安區,房地(土地+建物)+車位,住,103,5,公寓(5樓含以下無電梯),4,0,0,40.29905,24,7,1.0
23004,中正區,房地(土地+建物),其他,103,7,華廈(10層含以下有電梯),4,1,0,39.824125,33,7,0.2857142857142857
24057,中正區,房地(土地+建物),其他,103,5,公寓(5樓含以下無電梯),4,0,0,18.818525,26,11,1.0
25149,信義區,房地(土地+建物),商,97,3,透天厝,4,0,0,27.161475,27,8,1.0
25312,中正區,房地(土地+建物),商,103,4,透天厝,4,0,0,101.04105,45,13,1.0
25489,北投區,房地(土地+建物),商,103,3,透天厝,4,0,0,9.147599999999999,39,10,1.0
26070,內湖區,房地(土地+建物)+車位,其他,103,14,套房(1房1廳1衛),4,1,0,17.04285,15,4,0.7142857142857143
27590,中山區,房地(土地+建物),住,102,3,透天厝,4,0,0,64.840875,37,7,1.0
28210,文山區,房地(土地+建物),商,102,3,透天厝,5,0,0,39.59725,46,9,1.0
30932,南港區,房地(土地+建物)+車位,住,107,4,透天厝,4,1,0,70.71845,13,10,1.0
34096,大安區,房地(土地+建物),其他,102,3,透天厝,4,0,0,23.041425,15,7,1.0
36360,大同區,房地(土地+建物)+車位,住,102,5,公寓(5樓含以下無電梯),4,1,0,33.659175,14,5,0.2
37697,文山區,房地(土地+建物)+車位,其他,102,9,套房(1房1廳1衛),4,1,0,28.2414,16,3,0.4444444444444444
41156,中正區,房地(土地+建物)+車位,其他,102,7,華廈(10層含以下有電梯),4,1,0,57.92269999999999,25,7,0.7142857142857143
43935,南港區,房地(土地+建物)+車位,商,102,25,套房(1房1廳1衛),4,1,0,32.757725,1,3,0.4
46941,南港區,房地(土地+建物)+車位,其他,101,7,華廈(10層含以下有電梯),4,1,0,57.012175,2,7,0.2857142857142857
54642,北投區,建物,住,110,5,華廈(10層含以下有電梯),4,1,0,11.842875,13,4,0.8
56104,士林區,房地(土地+建物)+車位,商,109,2,透天厝,5,0,0,42.35,52,10,1.0
59708,中正區,房地(土地+建物)+車位,其他,102,5,公寓(5樓含以下無電梯),4,1,0,68.5949,16,6,0.2
64042,中正區,房地(土地+建物),其他,101,14,套房(1房1廳1衛),4,1,0,18.661224999999998,27,3,0.35714285714285715
64709,南港區,建物,商,110,13,住宅大樓(11層含以上有電梯),4,1,2500000,44.0682,1,5,0.9230769230769231
67357,文山區,房地(土地+建物)+車位,商,110,3,透天厝,4,1,0,96.18895,12,11,1.0
79613,中山區,建物,住,110,10,華廈(10層含以下有電梯),4,1,0,89.50672499999999,4,7,0.3
82140,北投區,建物,商,109,13,住宅大樓(11層含以上有電梯),4,1,0,18.364774999999998,15,2,0.5384615384615384
87882,內湖區,建物,商,109,13,住宅大樓(11層含以上有電梯),4,1,0,53.751225,4,7,0.9230769230769231
93048,中山區,房地(土地+建物),商,108,3,透天厝,5,0,0,66.909975,52,8,1.0
98264,中正區,建物,商,108,5,公寓(5樓含以下無電梯),4,0,0,48.037,23,7,1.0
100868,內湖區,房地(土地+建物)+車位,其他,108,4,透天厝,4,1,0,65.81795,33,10,1.0
103520,大安區,房地(土地+建物)+車位,其他,108,11,套房(1房1廳1衛),4,1,0,31.11515,9,3,0.2727272727272727
105932,大同區,房地(土地+建物)+車位,其他,107,13,套房(1房1廳1衛),4,1,1800000,28.900850000000002,1,3,0.8461538461538461
116606,南港區,房地(土地+建物),商,106,2,透天厝,5,0,0,68.56465,60,7,1.0
120482,中山區,房地(土地+建物)+車位,其他,105,11,套房(1房1廳1衛),4,1,0,18.153025,14,2,0.5454545454545454
121497,北投區,房地(土地+建物)+車位,其他,105,5,公寓(5樓含以下無電梯),4,0,0,79.893275,24,11,0.2
