,鄉鎮市區,交易標的,都市土地使用分區,交易年,總樓層數,建物型態,主要建材,有無管理組織,車位總價元,建物移轉總面積坪,屋齡,房間數,樓層比
24857,新屋區,房地(土地+建物),住,106,5,公寓(5樓含以下無電梯),4,0,0,29.5482,26,7,1.0
25203,平鎮區,房地(土地+建物)+車位,商,106,19,套房(1房1廳1衛),4,1,1100000,40.3172,2,3,0.631578947368421
25594,大溪區,房地(土地+建物)+車位,其他,106,5,華廈(10層含以下有電梯),4,0,0,49.691675000000004,13,13,0.4
25733,八德區,房地(土地+建物)+車位,其他,106,7,華廈(10層含以下有電梯),4,1,0,45.892275,24,6,0.42857142857142855
25867,蘆竹區,房地(土地+建物),其他,106,8,套房(1房1廳1衛),4,1,0,18.4041,22,3,0.875
27867,龍潭區,房地(土地+建物),其他,106,2,透天厝,5,0,0,26.06945,36,6,1.0
29198,平鎮區,房地(土地+建物)+車位,住,106,14,套房(1房1廳1衛),4,1,0,26.644199999999998,13,3,0.6428571428571429
29848,復興區,房地(土地+建物),住,106,2,透天厝,5,0,0,26.734949999999998,34,3,1.0
30237,楊梅區,房地(土地+建物),其他,106,15,住宅大樓(11層含以上有電梯),4,1,0,31.84115,1,5,0.6666666666666666
32557,平鎮區,房地(土地+建物)+車位,商,106,3,透天厝,4,0,0,59.595524999999995,24,10,1.0
33113,八德區,房地(土地+建物)+車位,商,106,15,套房(1房1廳1衛),4,1,0,24.523674999999997,10,3,0.7333333333333333
33223,大溪區,房地(土地+建物)+車位,住,106,8,套房(1房1廳1衛),4,1,0,21.413975,23,3,0.75
34647,楊梅區,房地(土地+建物),商,106,4,公寓(5樓含以下無電梯),4,0,0,32.467324999999995,39,3,1.0
37110,八德區,房地(土地+建物),其他,106,5,透天厝,4,1,0,93.790125,4,8,1.0
37740,觀音區,房地(土地+建物)+車位,商,106,5,公寓(5樓含以下無電梯),4,0,0,44.515899999999995,21,8,1.0
37939,大園區,房地(土地+建物),商,106,11,套房(1房1廳1衛),4,1,0,21.413975,10,6,0.8181818181818182
39873,大園區,房地(土地+建物),商,110,4,透天厝,5,0,0,27.016275,56,10,1.0
40976,大園區,房地(土地+建物)+車位,商,110,11,住宅大樓(11層含以上有電梯),4,1,0,48.759975,14,5,0.7272727272727273
46003,新屋區,房地(土地+建物),商,105,8,華廈(10層含以下有電梯),4,1,0,34.18855,23,7,0.5
46077,楊梅區,房地(土地+建物),其他,105,10,套房(1房1廳1衛),4,1,0,12.181675,21,3,1.0
47172,大溪區,房地(土地+建物),商,105,7,套房(1房1廳1衛),4,0,0,13.2011,34,3,0.42857142857142855
48389,新屋區,房地(土地+建物),商,105,5,公寓(5樓含以下無電梯),4,0,0,31.61125,35,6,0.8
50011,觀音區,房地(土地+建物)+車位,商,105,4,透天厝,4,0,0,83.716875,2,12,1.0
50543,龜山區,房地(土地+建物),其他,105,5,套房(1房1廳1衛),4,0,0,9.937125,35,3,0.6
65426,八德區,建物,住,104,5,華廈(10層含以下有電梯),4,1,0,34.49105,1,12,0.6
66197,龍潭區,房地(土地+建物)+車位,其他,105,14,住宅大樓(11層含以上有電梯),4,1,0,25.9908,18,3,0.9285714285714286
66905,楊梅區,房地(土地+建物),其他,104,5,公寓(5樓含以下無電梯),4,1,0,26.036174999999997,18,7,0.8
68312,龜山區,房地(土地+建物)+車位,其他,104,4,透天厝,4,1,0,88.83215,26,11,1.0
69507,中壢區,房地(土地+建物)+車位,其他,104,4,透天厝,4,1,0,80.74934999999999,20,10,1.0
73150,龍潭區,房地(土地+建物)+車位,其他,104,4,公寓(5樓含以下無電梯),4,0,0,44.125675,17,9,0.75
74724,龜山區,房地(土地+建物)+車位,其他,104,5,公寓(5樓含以下無電梯),4,1,0,28.253500000000003,20,8,0.6
74771,桃園區,房地(土地+建物)+車位,其他,104,15,套房(1房1廳1衛),4,1,0,23.495175,8,3,0.7333333333333333
80400,龜山區,房地(土地+建物),其他,103,2,透天厝,5,0,0,49.440599999999996,43,7,1.0
81024,桃園區,房地(土地+建物)+車位,其他,103,5,公寓(5樓含以下無電梯),4,1,0,36.48755,20,7,1.0
85358,大園區,房地(土地+建物),商,103,11,華廈(10層含以下有電梯),4,1,0,34.584824999999995,7,6,0.5454545454545454
92032,大園區,房地(土地+建物)+車位,其他,109,11,住宅大樓(11層含以上有電梯),4,1,1050000,59.22647499999999,4,8,0.18181818181818182
92082,大園區,房地(土地+建物),其他,110,10,華廈(10層含以下有電梯),4,1,0,16.694975,7,3,0.8
105497,龍潭區,房地(土地+建物),住,102,14,住宅大樓(11層含以上有電梯),4,1,0,10.164,15,4,0.35714285714285715
112614,楊梅區,建物,住,102,2,公寓(5樓含以下無電梯),5,0,0,16.576999999999998,34,6,0.5
112838,八德區,房地(土地+建物)+車位,其他,102,4,透天厝,4,0,0,69.65062499999999,20,11,1.0
114280,大園區,房地(土地+建物)+車位,其他,102,10,華廈(10層含以下有電梯),4,1,0,46.612225,5,7,0.4
115850,大園區,房地(土地+建物)+車位,商,102,10,華廈(10層含以下有電梯),4,1,950000,38.81679999999999,0,5,0.7
116942,大園區,房地(土地+建物)+車位,商,102,11,套房(1房1廳1衛),4,1,0,54.289674999999995,6,6,1.0
117665,新屋區,房地(土地+建物),住,102,8,住宅大樓(11層含以上有電梯),4,1,0,36.820299999999996,20,6,1.0
118166,龍潭區,房地(土地+建物),其他,102,6,華廈(10層含以下有電梯),4,1,0,20.5216,17,7,0.6666666666666666
118636,蘆竹區,房地(土地+建物),其他,102,4,公寓(5樓含以下無電梯),4,1,0,21.456325000000003,17,6,1.0
118998,楊梅區,房地(土地+建物)+車位,其他,102,3,透天厝,4,0,0,45.4597,6,9,1.0
119816,大園區,房地(土地+建物)+車位,其他,102,4,透天厝,4,1,0,47.002449999999996,18,9,1.0
120408,龍潭區,房地(土地+建物)+車位,其他,102,4,透天厝,4,0,0,54.604274999999994,18,8,1.0
121818,蘆竹區,房地(土地+建物),其他,102,2,透天厝,5,0,0,32.43405,32,9,1.0
122135,平鎮區,房地(土地+建物)+車位,其他,102,2,透天厝,5,0,0,25.612675,31,7,1.0
122601,大園區,房地(土地+建物),其他,102,5,公寓(5樓含以下無電梯),4,1,0,23.573825000000003,18,5,1.0
124159,平鎮區,房地(土地+建物)+車位,其他,102,5,公寓(5樓含以下無電梯),4,0,0,44.75185,20,7,1.0
125965,觀音區,房地(土地+建物)+車位,其他,101,3,透天厝,4,0,0,54.489324999999994,19,8,1.0
127512,大溪區,房地(土地+建物)+車位,其他,101,5,公寓(5樓含以下無電梯),4,1,0,39.079975,19,7,0.8
127682,大溪區,房地(土地+建物)+車位,其他,101,3,透天厝,4,0,0,60.043225,18,9,1.0
127724,新屋區,房地(土地+建物)+車位,其他,101,4,透天厝,4,0,0,48.79325,18,9,1.0
127754,楊梅區,房地(土地+建物)+車位,其他,101,5,公寓(5樓含以下無電梯),4,0,0,20.373375,30,4,0.4
129342,觀音區,房地(土地+建物)+車位,住,110,11,住宅大樓(11層含以上有電梯),4,1,1100000,34.705825,0,5,0.9090909090909091
131747,大溪區,房地(土地+建物)+車位,商,110,15,住宅大樓(11層含以上有電梯),4,1,0,39.467175,4,6,0.6
132423,觀音區,房地(土地+建物),住,110,15,住宅大樓(11層含以上有電梯),4,1,0,26.562525,0,5,0.26666666666666666
133787,大溪區,房地(土地+建物),商,110,7,華廈(10層含以下有電梯),4,0,0,47.7466,39,3,0.14285714285714285
141710,平鎮區,建物,其他,101,4,透天厝,4,0,0,61.25625,0,9,1.0
141888,新屋區,房地(土地+建物)+車位,住,102,4,公寓(5樓含以下無電梯),4,0,0,60.38505,18,7,0.75
143413,大園區,房地(土地+建物),其他,102,11,住宅大樓(11層含以上有電梯),4,0,0,18.758025,16,6,0.09090909090909091
143640,大溪區,房地(土地+建物)+車位,住,102,5,公寓(5樓含以下無電梯),4,0,0,33.991925,19,7,0.2
144146,新屋區,房地(土地+建物)+車位,其他,102,7,華廈(10層含以下有電梯),4,0,0,33.828575,18,4,0.8571428571428571
144808,新屋區,房地(土地+建物),其他,102,7,華廈(10層含以下有電梯),4,0,0,19.341849999999997,18,4,0.7142857142857143
145679,觀音區,房地(土地+建物)+車位,住,102,6,套房(1房1廳1衛),4,0,0,13.930124999999999,18,3,0.6666666666666666
146474,蘆竹區,房地(土地+建物)+車位,其他,102,5,公寓(5樓含以下無電梯),4,0,0,27.215925,17,4,0.4
146963,蘆竹區,房地(土地+建物)+車位,其他,101,13,套房(1房1廳1衛),4,0,0,48.626875,3,3,0.5384615384615384
148350,觀音區,房地(土地+建物),商,101,5,住宅大樓(11層含以上有電梯),4,1,0,24.705175,16,7,1.0
149012,桃園區,建物,住,101,9,華廈(10層含以下有電梯),4,0,0,86.13385,3,8,0.5555555555555556
153626,中壢區,房地(土地+建物)+車位,商,109,2,透天厝,5,0,0,99.3652,45,12,1.0
157892,新屋區,房地(土地+建物)+車位,住,109,12,住宅大樓(11層含以上有電梯),4,1,0,45.683550000000004,0,7,0.9166666666666666
161648,中壢區,房地(土地+建物)+車位,商,109,19,公寓(5樓含以下無電梯),4,1,1400000,43.968374999999995,1,6,0.7894736842105263
162022,桃園區,建物,商,109,24,住宅大樓(11層含以上有電梯),4,1,3500000,74.08829999999999,2,8,0.8333333333333334
162743,桃園區,建物,住,109,5,公寓(5樓含以下無電梯),4,0,0,30.2863,32,7,0.8
164931,新屋區,房地(土地+建物)+車位,商,109,8,華廈(10層含以下有電梯),4,0,0,39.116275,27,7,0.75
170902,大溪區,房地(土地+建物)+車位,商,109,5,華廈(10層含以下有電梯),4,0,0,76.42965,25,8,0.4
191702,蘆竹區,房地(土地+建物)+車位,商,110,3,透天厝,4,0,0,50.520525,32,9,1.0
198471,觀音區,房地(土地+建物)+車位,商,110,14,住宅大樓(11層含以上有電梯),4,0,1300000,43.91695,0,7,0.5
