,鄉鎮市區,交易標的,都市土地使用分區,交易年,總樓層數,建物型態,主要建材,有無管理組織,車位總價元,房間數,建物移轉總面積坪,每坪價格,屋齡,車位,樓層比
6388,龍井區,房地(土地+建物),住,7,4,公寓(5樓含以下無電梯),4,0,0.0,7,23.712975,18.133532380479462,39,0,0.25
6581,大甲區,房地(土地+建物),住,7,8,華廈(10層含以下有電梯),4,1,0.0,7,30.936674999999997,14.157953302997171,26,0,1.0
6665,北區,房地(土地+建物)+車位,其他,7,7,華廈(10層含以下有電梯),4,0,70.0,7,44.549175000000005,14.702853644315521,24,1,1.0
6727,龍井區,房地(土地+建物),住,7,5,套房(1房1廳1衛),4,0,0.0,3,9.0629,12.137395314965408,30,0,1.0
6874,外埔區,房地(土地+建物),住,7,3,透天厝,4,0,0.0,7,42.96105,14.66444605055044,31,0,1.0
7008,南區,房地(土地+建物)+車位,其他,7,14,住宅大樓(11層含以上有電梯),4,1,80.0,7,37.440425,16.025459112710394,27,1,0.6428571428571429
7458,東勢區,房地(土地+建物),住,7,6,華廈(10層含以下有電梯),4,0,0.0,7,28.425925,10.553746272108999,26,0,0.5
7468,沙鹿區,房地(土地+建物),住,7,5,套房(1房1廳1衛),4,1,0.0,3,6.3525,15.741833923652106,12,0,0.6
7474,潭子區,房地(土地+建物),商,7,2,透天厝,5,0,0.0,7,57.8985,28.498147620404673,46,0,1.0
7475,大雅區,房地(土地+建物),商,7,14,住宅大樓(11層含以上有電梯),4,1,0.0,7,34.893375,13.469605619978005,25,0,0.5
7575,南區,房地(土地+建物),商,7,15,套房(1房1廳1衛),4,0,0.0,3,8.630325000000001,10.42834423964335,25,0,0.4
7648,霧峰區,房地(土地+建物),住,7,1,透天厝,5,0,0.0,8,18.271,46.52181051940233,55,0,1.0
7654,大肚區,房地(土地+建物),住,7,4,公寓(5樓含以下無電梯),4,1,0.0,8,30.685599999999997,11.406001512109915,24,0,0.25
8143,潭子區,房地(土地+建物),住,7,17,套房(1房1廳1衛),4,1,0.0,3,14.214475,15.125426721704459,25,0,0.47058823529411764
8261,西區,房地(土地+建物)+車位,其他,7,7,華廈(10層含以下有電梯),4,1,80.0,6,29.693399999999997,18.05114941367442,29,1,0.7142857142857143
