,鄉鎮市區,交易標的,都市土地使用分區,交易年,總樓層數,建物型態,主要建材,有無管理組織,車位總價元,房間數,建物移轉總面積坪,每坪價格,屋齡,車位,樓層比
6497,三民區,房地(土地+建物),商,7,10,華廈(10層含以下有電梯),4,1,0.0,5,20.45505,13.688551237958352,24,0,0.8
6538,前金區,房地(土地+建物)+車位,住,7,7,華廈(10層含以下有電梯),4,1,0.0,7,41.261,14.444632946365816,24,1,0.8571428571428571
6581,三民區,房地(土地+建物),其他,7,2,透天厝,5,0,0.0,2,22.59675,19.029285184816402,50,0,1.0
6710,美濃區,房地(土地+建物),住,7,2,透天厝,5,0,0.0,7,21.054,11.874228175168614,37,0,1.0
6765,橋頭區,房地(土地+建物),商,7,16,住宅大樓(11層含以上有電梯),4,1,0.0,7,30.2258,10.636608460321977,23,0,0.4375
6991,仁武區,房地(土地+建物)+車位,住,7,3,透天厝,4,1,0.0,9,68.87017499999999,11.90646023478233,22,1,1.0
6992,鳥松區,房地(土地+建物),商,7,12,套房(1房1廳1衛),4,1,0.0,3,13.046825,14.79287106249988,38,0,0.8333333333333334
7147,苓雅區,房地(土地+建物),住,7,9,套房(1房1廳1衛),4,1,0.0,3,9.338175,18.419016563728995,21,0,0.5555555555555556
7160,前鎮區,房地(土地+建物),住,7,7,套房(1房1廳1衛),4,1,0.0,2,9.791924999999999,13.153695519522467,26,0,0.7142857142857143
7164,小港區,房地(土地+建物)+車位,商,7,11,住宅大樓(11層含以上有電梯),4,1,0.0,7,53.025225,11.107920805616573,24,1,1.0
7280,林園區,房地(土地+建物),住,7,4,透天厝,4,0,0.0,9,43.357325,11.301435224613142,28,0,1.0
7320,路竹區,房地(土地+建物),住,7,3,透天厝,4,0,0.0,9,56.903275,14.234681571491272,6,0,1.0
7721,鼓山區,房地(土地+建物),住,7,6,華廈(10層含以下有電梯),4,1,0.0,7,49.661424999999994,13.289993188878492,25,0,0.6666666666666666
7868,路竹區,房地(土地+建物),住,7,8,華廈(10層含以下有電梯),4,0,0.0,7,38.139199999999995,11.798884087762723,24,0,0.875
7957,岡山區,房地(土地+建物),住,7,7,套房(1房1廳1衛),4,0,0.0,3,9.537825,11.218490588787276,27,0,1.0
8271,茄萣區,房地(土地+建物),住,7,4,透天厝,4,0,0.0,9,22.6996,12.775555516396764,11,0,1.0
8308,鳳山區,房地(土地+建物)+車位,商,7,7,華廈(10層含以下有電梯),4,0,0.0,8,42.752325,12.1630811891517,24,1,0.7142857142857143
8633,鳥松區,房地(土地+建物),商,7,10,華廈(10層含以下有電梯),4,0,0.0,4,14.7741,14.75555194563459,38,0,0.6
9328,前金區,房地(土地+建物),商,7,7,華廈(10層含以下有電梯),4,1,0.0,2,7.76215,11.208234831844269,29,0,1.0
9526,彌陀區,房地(土地+建物),住,7,2,透天厝,5,0,0.0,7,29.80835,16.773823442089213,37,0,1.0
9590,鹽埕區,房地(土地+建物),商,7,6,套房(1房1廳1衛),4,1,0.0,3,16.446925,10.822691779770382,30,0,0.5
9665,鳳山區,房地(土地+建物)+車位,住,7,5,公寓(5樓含以下無電梯),4,0,0.0,7,29.6087,15.19823565370989,34,1,0.2
9855,小港區,房地(土地+建物)+車位,商,7,9,華廈(10層含以下有電梯),4,1,0.0,7,38.828900000000004,11.07422564121054,19,1,0.3333333333333333
10092,鳥松區,房地(土地+建物)+車位,住,7,5,公寓(5樓含以下無電梯),4,0,0.0,9,46.12519999999999,14.95928472938871,26,1,1.0
10216,小港區,房地(土地+建物),其他,7,2,透天厝,5,0,0.0,7,17.995725,18.337688534360243,47,0,1.0
10350,鳳山區,房地(土地+建物)+車位,住,6,6,套房(1房1廳1衛),4,0,0.0,6,40.592475,13.54930932395721,20,1,0.16666666666666666
10397,鼓山區,房地(土地+建物)+車位,其他,6,15,住宅大樓(11層含以上有電梯),4,1,0.0,7,41.86297499999999,22.334771955409288,12,1,0.5333333333333333
10418,新興區,房地(土地+建物)+車位,商,7,7,華廈(10層含以下有電梯),4,1,0.0,5,39.455075,13.306273020644365,28,1,0.42857142857142855
10540,苓雅區,房地(土地+建物),住,6,2,透天厝,5,0,0.0,8,17.56315,16.050651506136425,45,0,1.0
10686,鼓山區,房地(土地+建物)+車位,商,7,15,套房(1房1廳1衛),4,1,0.0,3,23.601049999999997,19.490658254611557,10,1,0.7333333333333333
11763,鹽埕區,房地(土地+建物),住,7,7,華廈(10層含以下有電梯),4,1,0.0,7,36.974575,10.277332464267676,30,0,1.0
11991,大樹區,房地(土地+建物),住,7,2,透天厝,5,0,0.0,7,25.9424,21.200814111261874,39,0,1.0
12280,岡山區,房地(土地+建物),商,6,2,透天厝,5,0,0.0,5,20.9088,10.521885521885523,48,0,1.0
12418,左營區,房地(土地+建物),住,7,4,公寓(5樓含以下無電梯),4,0,0.0,8,20.560924999999997,24.561151796429396,40,0,0.25
12470,前金區,房地(土地+建物)+車位,商,7,7,華廈(10層含以下有電梯),4,1,0.0,7,45.105775,13.967169392389334,26,1,0.5714285714285714
12571,左營區,房地(土地+建物),商,7,10,華廈(10層含以下有電梯),4,1,0.0,4,19.235975,16.11563749692958,28,0,0.6
12594,橋頭區,房地(土地+建物),商,7,2,透天厝,5,0,0.0,8,45.96185,13.924591808206154,48,0,1.0
13247,林園區,房地(土地+建物),商,7,1,透天厝,5,0,0.0,7,23.549625,13.800644383933927,46,0,1.0
13251,前金區,房地(土地+建物),住,7,20,套房(1房1廳1衛),4,1,0.0,3,13.797025,14.495878640504023,24,0,0.3
13287,苓雅區,房地(土地+建物),商,7,5,公寓(5樓含以下無電梯),4,0,0.0,5,19.635275,18.232492287477513,24,0,0.8
13717,前鎮區,房地(土地+建物),其他,7,2,透天厝,5,0,0.0,9,24.93205,16.12382455514087,51,0,1.0
13763,楠梓區,房地(土地+建物),住,7,8,套房(1房1廳1衛),4,1,0.0,3,13.367474999999999,10.323565220806474,21,0,0.25
13981,鳥松區,房地(土地+建物),其他,7,12,套房(1房1廳1衛),4,1,0.0,3,11.637175,10.741438536414552,38,0,0.8333333333333334
14224,仁武區,房地(土地+建物),商,7,2,透天厝,5,0,0.0,5,20.83015,11.041687169799545,42,0,1.0
14327,岡山區,房地(土地+建物),住,7,4,公寓(5樓含以下無電梯),4,0,0.0,7,24.795925,10.485593903030438,35,0,0.75
15036,鹽埕區,房地(土地+建物),商,7,5,公寓(5樓含以下無電梯),4,1,0.0,7,34.1825,10.18064799239377,31,0,0.6
15316,鼓山區,房地(土地+建物),其他,7,15,住宅大樓(11層含以上有電梯),4,1,0.0,8,44.319275,11.84586164823319,24,0,0.2
16874,前鎮區,房地(土地+建物)+車位,住,7,5,公寓(5樓含以下無電梯),4,1,0.0,7,40.56525,14.42121027233901,29,1,0.6
17077,左營區,房地(土地+建物),其他,7,16,住宅大樓(11層含以上有電梯),4,1,0.0,8,54.090025,11.092618278508839,24,0,0.75
